DateTime,AddedIPs,RemovedIPs
1470493204,3845,3849
1470494402,3840,3840
1470494889,0,1
1470495004,1,0
1470496806,3593,3587
1470498306,3328,3328
1470500403,3330,3331
1470501908,3840,3840
1470503102,1024,22784
1470503850,3585,3585
1470505506,3327,3328
1470507407,3842,3842
1470509403,3584,3584
1470510906,3072,3072
1470511207,3,9
1470512705,3072,3073
1470514641,3332,3330
1470516306,3072,3072
1470518282,3078,3073
1470520202,3840,3840
1470521773,3,1
1470522341,3072,3072
1470522903,2816,3072
1470525603,2816,2562
1470527106,2816,3072
1470528486,1,0
1470528954,2836,2818
1470529311,256,256
1470529802,256,256
1470531002,3584,3583
1470532803,3,5
1470533102,3840,3840
1470533913,3840,3584
1470535202,256,256
1470536251,2562,2567
1470538202,3583,3584
1470539466,3840,3839
1470540009,3,12
1470541506,3327,3328
1470543594,3335,3331
1470545107,2816,2816
1470547115,3327,3328
1470547688,3,3
1470548709,2560,2559
1470550802,2564,2566
1470552602,3328,3328
1470554409,3843,3846
1470555910,3584,3584
1470558002,3074,3079
1470560170,3840,3840
1470561734,3075,3073
1470562086,1,1
1470562698,3072,3072
1470564602,2560,2560
1470564985,5,5
1470567002,3584,3584
1470568807,3075,3075
1470570305,2,0
1470570730,2304,2304
1470572107,2816,2816
1470572402,8,2
1470573906,4352,4352
1470575823,4608,4610
1470577505,3327,3328
1470579603,3839,3841
1470581290,3840,3840
1470583212,3844,3842
1470584706,2816,2816
1470586624,2821,3074
1470588305,2816,2560
1470589203,1280,9216
1470590191,3587,3840
1470592203,3328,3072
1470593707,3072,3072
1470594003,4,1
1470595506,2817,2816
1470596647,2560,2560
1470597389,2,1
1470599403,2560,2816
1470600602,3072,2816
1470601002,1,6
1470603005,3072,3072
1470604651,2818,3073
1470606602,3584,3584
1470608170,2816,3072
1470608258,0,4
1470610090,3328,2816
1470611416,2816,2816
1470612007,1,0
1470613505,2816,2816
1470614705,1,0
1470615002,0,2
1470615602,3594,3586
1470616502,3840,3840
1470619174,3584,3584
1470619686,3,12
1470620318,3328,3328
1470622203,3328,3328
1470622773,5,3
1470624603,3584,3584
1470625859,3328,3328
1470626601,7,18
1470627906,2816,2816
1470629941,3328,3328
1470631448,3328,3584
1470633712,3847,3843
1470635290,3072,2816
1470637218,3583,3584
1470637511,131075,2
1470638708,3072,3071
1470640623,3589,3589
1470641047,0,1
1470641702,256,256
1470641912,3840,3840
1470642966,1,0
1470644271,3587,3585
1470645907,3072,3072
1470647828,3586,3591
1470649802,3328,3328
1470651601,2823,2822
1470653106,3584,3584
1470654998,3591,3587
1470657003,2560,2816
1470658570,3840,3585
1470658582,1,1
1470660488,4096,4097
1470662410,3586,3842
1470663906,3328,3328
1470666248,3587,3588
1470666903,3328,3328
1470669602,3079,3083
1470671106,2304,2304
1470672906,3072,2816
1470673412,4,1
1470674706,4095,4096
1470675848,0,12800
1470676803,3840,3840
1470677011,3,4
1470678305,2816,2816
1470680402,2050,2051
1470681907,3328,3328
1470684002,2562,2566
1470684902,2560,2560
1470685802,0,1
1470686103,1,0
1470687601,2054,2050
1470689290,2304,2304
1470689401,1,0
1470691207,2817,2819
1470692303,2559,2560
1470692706,1,0
1470694802,2306,2307
1470696306,3584,3583
1470698600,3334,3331
1470699506,2560,2816
1470700802,3,0
1470701102,256,256
1470701787,2579,2305
1470703690,4351,4352
1470704702,256,256
1470705607,3845,3846
1470707107,2560,2816
1470708002,256,256
1470709116,2822,2819
1470710706,3583,3328
1470712562,3844,3861
1470714306,2304,2560
1470716403,3336,3076
1470718085,3584,3584
1470719707,3840,3840
1470720008,0,3
1470721508,3072,3328
1470723602,2565,2563
1470725107,3328,3327
1470727203,2816,2819
1470728708,2304,2304
1470730803,3330,3081
1470731703,1,1
1470732486,3072,3073
1470733802,2816,2816
1470734408,4,2
1470735364,0,1
1470735906,3072,3071
1470737951,1794,2054
1470739505,2816,2560
1470741002,3072,3072
1470741435,8,2
1470743106,3072,3072
1470743402,0,2
1470745203,3076,3073
1470746886,3584,3583
1470748807,3585,3843
1470750306,2559,2303
1470751503,3,1
1470752402,2050,2056
1470753906,3840,3840
1470756002,3587,3591
1470757505,2560,2560
1470759384,2823,2820
1470761287,4096,4096
1470762304,0,23808
1470763207,3843,3843
1470764705,3328,3583
1470766681,3586,3329
1470768306,3840,3840
1470770403,3072,3328
1470771502,3072,3072
1470773929,3329,3075
1470775686,4095,4096
1470776702,256,256
1470777608,4095,4094
1470777800,2,5
1470779107,2816,2815
1470781034,2820,2822
1470781446,256,256
1470782706,3840,3840
1470783602,256,256
1470784642,3586,3586
1470786306,3584,3583
1470788400,3593,3584
