DateTime,AddedIPs,RemovedIPs
1471053122,80,80
1471053722,80,80
1471054322,80,80
1471054922,80,80
1471055521,80,80
1471056122,80,80
1471056722,43,43
1471057322,80,80
1471057922,80,80
1471058522,80,80
1471059122,80,80
1471059722,75,75
1471060322,62,62
1471060922,80,80
1471061521,80,80
1471062122,80,80
1471062721,80,80
1471063321,78,78
1471064522,77,77
1471065721,80,80
1471066321,80,80
1471066921,80,80
1471067522,80,80
1471068121,80,80
1471068721,80,80
1471069322,80,80
1471070521,80,80
1471071722,76,76
1471072322,80,80
1471072922,77,77
1471073522,80,80
1471074121,80,80
1471074721,80,80
1471075322,80,80
1471076522,61,61
1471077121,80,80
1471077721,44,44
1471078321,79,79
1471078921,79,79
1471079521,80,80
1471080122,80,80
1471080721,80,80
1471081322,80,80
1471081921,77,77
1471082521,70,70
1471083122,76,76
1471083721,79,79
1471084321,80,80
1471084921,80,80
1471085521,79,79
1471086122,75,75
1471086721,80,80
1471087322,80,80
1471087921,79,79
1471088523,80,80
1471089722,80,80
1471090322,77,77
1471090922,80,80
1471091521,80,80
1471092122,68,68
1471092722,80,80
1471093321,80,80
1471094522,80,80
1471095122,80,80
1471095721,80,80
1471096322,80,80
1471096922,52,52
1471097522,80,80
1471098122,78,78
1471098721,80,80
1471099321,80,80
1471099922,80,80
1471100522,78,78
1471101122,80,80
1471101722,53,53
1471102322,68,68
1471102921,80,80
1471103522,72,72
1471104121,79,79
1471104732,80,80
1471105321,80,80
1471105922,80,80
1471106522,80,80
1471107127,80,80
1471107721,80,80
1471108322,79,79
1471108922,80,80
1471109521,80,80
1471110122,80,80
1471110722,80,80
1471111321,80,80
1471111922,80,80
1471112521,80,80
1471113721,80,80
1471114322,80,80
1471114921,80,80
1471115522,80,80
1471116122,78,78
1471116721,80,80
1471117321,80,80
1471117922,76,76
1471118521,80,80
1471119122,80,80
1471119722,26,26
1471120321,76,76
1471120921,80,80
1471122122,80,80
1471122721,80,80
1471123322,80,80
1471123922,78,78
1471124522,80,80
1471125121,80,80
1471125722,80,80
1471126921,80,80
1471128122,80,80
1471128721,80,80
1471129323,79,79
1471130521,80,80
1471131122,80,80
1471131721,77,77
1471132321,80,80
1471132921,80,80
1471133522,80,80
1471134122,80,80
1471134722,76,76
1471135323,80,80
1471135922,65,65
1471136522,73,73
1471137121,80,80
1471137722,80,80
1471138323,80,80
1471138923,71,71
1471139521,80,80
1471140121,68,68
1471140722,80,80
1471141322,80,80
1471141922,80,80
1471142522,76,76
1471143122,76,76
1471143722,79,79
1471144322,80,80
1471144921,80,80
1471145522,76,76
1471146121,80,80
1471146722,80,80
1471147321,72,72
1471147922,80,80
